#{"t_start": 1668693555.3180852, "env_id": "procgen-bigfish-v0"}
r,l,t
0.0,67,288.590439
0.0,78,288.811642
0.0,91,288.95678
0.0,67,289.047936
0.0,194,289.351658
0.0,191,289.674252
0.0,110,289.846992
0.0,118,290.025427
0.0,102,290.17726
0.0,40,290.242625
0.0,54,290.336838
1.0,373,290.932887
0.0,103,291.106676
0.0,49,291.186616
0.0,33,291.233329
0.0,78,291.354434
1.0,99,291.514266
0.0,170,291.788539
0.0,58,291.883742
0.0,165,308.408469
0.0,293,308.903455
0.0,64,308.996744
0.0,390,309.611602
0.0,17,309.636739
0.0,138,309.843371
0.0,65,309.942664
0.0,98,310.090709
0.0,90,310.242596
0.0,46,310.315762
0.0,92,310.460003
0.0,70,310.569258
0.0,13,310.58768
1.0,116,310.76637
0.0,85,310.892187
0.0,63,310.991674
0.0,150,311.22883
0.0,47,311.341.0,519,328.109379
0.0,52,328.176142
0.0,1973,330.064556
0.0,35,330.101036
10.0,6000,335.023922
0.0,20,335.038034
0.0,311,335.272298
5.0,3169,337.629813
0.0,70,337.679184
0.0,34,337.703054
0.0,59,337.913422
0.1.0,130,337.882230.00.0,143,338.101120.00.0,99,338.252450.0,128,338.573329
0.0,113,338.747994
0.0,68,338.848111
0.0,126,339.04238
1.0,143,339.265837
0.0,58,339.3566
0.0,833,340.665774
1.0,54,340.740981
1.0,137,340.947238
0.0,114,357.420.0,4045,377.790606
0.0,74,377.900924
0.0,157,378.143352
0.0,50,378.215546
1.0,231,378.56183
0.0,113,378.732215
0.0,76,378.850523
0.0,48,378.928589
0.0,117,379.107121
0.0,78,379.221155
1.0,193,379.51071
0.0,44,379.614255
0.0,101,379.843181
2.0,1874,398.478664
0.0,7,398.486511
0.0,28,398.51942
0.0,31,398.553423
0.0,28,398.583592
0.0,90,398.702546
0.0,31,398.750735
0.0,10,398.764777
0.0,22,398.788904
1.0,525,399.464128
0.0,77,403.821258
0.0,159,404.079874
0.0,84,404.206769
0.0,167,404.454082
1.0,181,404.74367
0.0,69,404.87758
0.0,38,404.954091
0.0,130,405.207986
1.0,139,405.404393
0.0,34,405.45049
0.0,54,405.526295
0.0,27,405.565738
0.0,95,405.709249
0.0,59,405.792424
0.0,62,405.882175
1.0,177,406.158571
0.0,10,406.172476
0.0,443,406.838513
0.0,178,423.29671
0.0,79,423.472096
0.0,65,423.583418
1.0,34,423.630083
0.0,21,423.6607
1.0,150,423.92407
0.0,84,424.041665
0.0,143,424.25539
0.0,125,424.455049
0.0,112,424.634475
2.0,266,425.043248
0.0,60,425.129472
0.0,151,425.35409
0.0,152,425.589455
0.0,52,425.672935
0.0,237,426.02018
0.0,20,426.053911
0.0,52,426.127808
0.0,83,426.269188
0.0,23,426.323624
0.0,124,442.847484
0.0,53,442.978822
0.0,113,443.228266
0.0,55,443.358841
0.0,100,443.586079
0.0,106,443.770838
0.0,34,443.818776
0.0,22,443.85137
0.0,52,443.934773
0.0,81,444.056913
0.0,45,444.121367
0.0,125,444.32573
